lon,lat, dep, mag, year, slat, slon, sdep, dproj
167.0000, -45.0000, 25.0000, 5.5000, 1810, 167.0031, -45.0017, 23.9050,1.1634
167.0000, -45.0000, 25.0000, 7.5000, 1826, 167.0031, -45.0017, 23.9050,1.1634
167.0000, -45.0000, 25.0000, 4.5000, 1941, 167.0031, -45.0017, 23.9050,1.1634
167.0000, -45.0000, 25.0000, 5.0000, 1941, 167.0031, -45.0017, 23.9050,1.1634
166.0000, -46.2300, 33.0000, 4.9600, 1950, 165.9966, -46.2269, 34.8340,-1.9040
166.9800, -45.0200, 33.0000, 5.5650, 1950, 167.0009, -45.0528, 26.3530,7.9300
167.2600, -44.8900, 33.0000, 5.4090, 1951, 167.2660, -44.8956, 32.1930,1.2182
165.8200, -46.0300, 33.0000, 4.9860, 1953, 165.8312, -46.0493, 24.4030,8.9479
167.4700, -44.6800, 33.0000, 4.5270, 1956, 167.4682, -44.6782, 32.8410,0.3247
166.8900, -45.2600, 33.0000, 4.0430, 1963, 166.8785, -45.2367, 35.4940,-3.8168
166.4900, -45.5700, 33.0000, 3.8740, 1963, 166.4909, -45.5732, 32.6410,0.5153
167.0800, -44.7600, 33.0000, 3.6700, 1963, 167.0927, -44.7750, 19.9380,13.2436
165.3900, -46.3600, 33.0000, 4.1450, 1964, 165.4024, -46.3712, 24.2630,8.9324
167.3700, -44.8800, 33.0000, 3.3290, 1964, 167.3409, -44.8528, 36.1600,-5.4409
167.3100, -44.8900, 33.0000, 3.4870, 1964, 167.2977, -44.8795, 33.7080,-1.9326
166.9500, -45.1000, 33.0000, 3.5510, 1964, 166.9628, -45.1234, 29.6080,4.5057
166.2500, -45.8600, 33.0000, 3.7370, 1965, 166.2744, -45.8770, 28.9570,5.2231
167.3400, -44.8900, 33.0000, 3.2450, 1966, 167.3174, -44.8679, 34.8240,-3.9599
165.4800, -47.0100, 33.0000, 4.7050, 1966, 165.4759, -47.0062, 35.5530,-2.6276
165.5000, -46.7600, 33.0000, 3.7720, 1967, 165.5001, -46.7591, 32.1190,0.8867
166.2900, -45.6300, 33.0000, 3.5460, 1967, 166.3353, -45.6449, 24.1670,10.3024
165.3500, -47.1900, 33.0000, 5.3560, 1967, 165.3445, -47.1860, 35.1980,-2.3244
166.8900, -44.8600, 33.0000, 3.6350, 1967, 166.8990, -44.8756, 19.2240,13.9208
166.2400, -45.4600, 33.0000, 3.9230, 1967, 166.2597, -45.4664, 19.5950,13.6014
166.4500, -45.1900, 26.0000, 3.6700, 1967, 166.4605, -45.1995, 19.5540,6.6355
165.7200, -46.5700, 33.0000, 4.0810, 1967, 165.7151, -46.5694, 34.7730,-1.8560
165.8400, -46.1800, 33.0000, 3.6000, 1967, 165.8473, -46.1867, 28.9940,4.1548
165.7300, -46.2000, 33.0000, 3.5680, 1967, 165.7418, -46.2128, 27.3330,5.9885
166.9300, -45.2400, 33.0000, 3.3210, 1968, 166.9168, -45.2185, 35.6950,-3.8901
166.5900, -45.1900, 39.9000, 5.1760, 1968, 166.6376, -45.2459, 26.2900,15.8708
167.3300, -44.8900, 33.0000, 3.2420, 1968, 167.3135, -44.8714, 34.7190,-3.2556
165.0600, -46.8300, 33.0000, 3.9360, 1968, 165.0725, -46.8331, 23.7230,9.3869
164.8700, -47.4200, 33.0000, 4.2470, 1968, 164.8823, -47.4272, 24.9480,8.2065
167.4200, -44.8000, 33.0000, 3.4150, 1969, 167.3977, -44.7817, 34.6990,-3.6299
165.1700, -47.4300, 33.0000, 3.9730, 1970, 165.1659, -47.4260, 34.8580,-1.9641
166.0200, -45.7000, 33.0000, 3.7570, 1971, 166.0271, -45.7148, 17.1190,15.9855
166.8400, -45.0800, 33.0000, 3.3750, 1971, 166.8514, -45.1099, 25.5620,8.2453
164.9900, -47.3600, 33.0000, 3.6780, 1971, 165.0013, -47.3673, 27.4250,5.7722
165.6500, -46.1300, 33.0000, 4.9070, 1973, 165.6623, -46.1432, 24.2690,8.9585
165.3900, -46.8800, 33.0000, 3.5920, 1974, 165.3955, -46.8847, 31.1440,2.0228
165.3900, -46.9900, 33.0000, 3.8700, 1974, 165.3903, -46.9920, 32.6810,0.3903
165.2900, -46.8400, 33.0000, 3.3950, 1974, 165.2966, -46.8455, 28.1190,4.9736
165.3800, -46.9700, 33.0000, 4.3490, 1974, 165.3834, -46.9707, 32.1240,0.9573
166.2000, -46.1200, 33.0000, 3.4240, 1976, 166.1806, -46.1013, 37.3970,-5.3208
166.2400, -45.3600, 33.0000, 3.9060, 1976, 166.2558, -45.3707, 18.8400,14.3181
166.0000, -45.9500, 33.0000, 3.9360, 1978, 166.0115, -45.9796, 24.1570,9.5219
165.0700, -47.4100, 33.0000, 3.4740, 1978, 165.0735, -47.4141, 30.7520,2.3265
166.0600, -45.5300, 33.0000, 3.5520, 1979, 166.0770, -45.5340, 16.6580,16.4570
165.5200, -46.7600, 33.0000, 4.5640, 1979, 165.5224, -46.7603, 32.7500,0.3672
166.3700, -45.2200, 33.0000, 3.8470, 1979, 166.3856, -45.2370, 18.9720,14.2607
165.1800, -47.4100, 33.0000, 3.9660, 1979, 165.1728, -47.4068, 34.5980,-1.8224
168.0000, -44.2300, 33.0000, 3.4050, 1981, 168.0060, -44.2371, 31.8750,1.5278
165.1500, -47.4300, 33.0000, 3.9260, 1981, 165.1489, -47.4279, 34.1730,-1.2023
166.9100, -44.7400, 33.0000, 3.6530, 1981, 166.9265, -44.7577, 17.9560,15.2827
165.4200, -46.7800, 33.0000, 3.4050, 1982, 165.4233, -46.7846, 30.4520,2.6246
165.1000, -46.6700, 33.0000, 4.3550, 1982, 165.1109, -46.6747, 23.1650,9.9232
165.5500, -46.8600, 33.0000, 3.9660, 1983, 165.5470, -46.8556, 35.0340,-2.1184
167.1000, -45.0400, 33.0000, 3.3420, 1983, 167.1060, -45.0452, 32.4260,1.0531
165.2200, -46.6900, 33.0000, 4.1070, 1983, 165.2324, -46.6981, 25.2120,7.9602
165.5300, -46.8400, 33.0000, 4.2650, 1983, 165.5273, -46.8386, 34.1600,-1.2083
165.4600, -46.3500, 33.0000, 3.7110, 1984, 165.4727, -46.3595, 25.2010,7.9959
167.5500, -44.5300, 28.0000, 3.4950, 1984, 167.5496, -44.5286, 28.3090,-0.3488
164.8800, -47.1300, 33.0000, 3.1790, 1984, 164.8929, -47.1372, 22.9810,10.1528
165.2600, -47.1100, 33.0000, 3.6780, 1984, 165.2661, -47.1124, 31.1220,2.0145
164.7400, -47.3600, 33.0000, 3.3370, 1985, 164.7493, -47.3633, 22.1780,10.8775
165.3300, -46.7900, 33.0000, 4.8230, 1985, 165.3396, -46.7946, 28.5100,4.6434
166.2200, -46.0000, 33.0000, 5.6000, 1986, 166.2206, -45.9968, 33.1730,-0.4012
165.6425, -46.8624, 33.0000, 4.1000, 1987, 165.6305, -46.8572, 37.6980,-4.9179
165.0398, -47.7320, 33.0000, 4.5060, 1987, 165.0186, -47.7186, 37.0530,-4.9198
166.9921, -44.7379, 33.0000, 3.0260, 1987, 167.0057, -44.7524, 18.7830,14.3878
165.2881, -46.8154, 33.0000, 3.2960, 1987, 165.2983, -46.8232, 27.8940,5.3019
165.1572, -46.7720, 33.0000, 3.0360, 1988, 165.1703, -46.7788, 24.8610,8.3028
165.6294, -45.9271, 33.0000, 3.1750, 1988, 165.6422, -45.9566, 19.7740,13.7008
167.2073, -44.7582, 33.0000, 3.6990, 1988, 167.2339, -44.7833, 22.6300,11.1389
164.8141, -47.2494, 33.0000, 4.1740, 1989, 164.8267, -47.2564, 22.6850,10.4388
165.1052, -47.4855, 33.0000, 3.3980, 1989, 165.1021, -47.4824, 33.6490,-0.8117
164.9575, -47.6106, 33.0000, 3.6360, 1989, 164.9673, -47.6144, 31.0500,2.2734
166.4318, -45.4733, 33.0000, 3.8020, 1989, 166.4566, -45.4889, 27.3660,6.5081
167.0216, -44.9160, 33.0000, 3.0980, 1989, 167.0385, -44.9411, 22.6140,10.9174
165.2137, -47.2702, 33.0000, 3.3450, 1989, 165.2163, -47.2694, 32.7290,0.4061
167.2654, -44.9816, 33.0000, 3.4900, 1989, 167.2371, -44.9541, 36.0400,-5.3380
164.8641, -47.7280, 33.0000, 3.3330, 1989, 164.8750, -47.7358, 30.0920,3.2677
165.7797, -46.2891, 33.0000, 4.2260, 1990, 165.7827, -46.2947, 30.3330,2.7590
164.7999, -47.4462, 33.0000, 4.3120, 1990, 164.8123, -47.4513, 23.6530,9.4652
165.0195, -47.1958, 33.0000, 3.4300, 1990, 165.0340, -47.2003, 26.1080,7.0957
164.8314, -47.3377, 33.0000, 4.3660, 1990, 164.8432, -47.3412, 23.4120,9.6852
165.7254, -46.3891, 33.0000, 3.4700, 1990, 165.7291, -46.3915, 31.2700,1.7982
167.2671, -44.8530, 28.7700, 3.1510, 1991, 167.2692, -44.8567, 28.3150,0.6564
165.9390, -46.1729, 33.0000, 3.9620, 1991, 165.9408, -46.1770, 31.1580,1.9081
165.6836, -46.5573, 33.0000, 3.8390, 1991, 165.6831, -46.5567, 33.5880,-0.5944
165.1234, -46.8099, 33.0000, 3.3380, 1991, 165.1343, -46.8162, 24.5530,8.5622
165.5805, -46.8025, 33.0000, 3.1950, 1991, 165.5760, -46.8027, 35.0020,-2.0637
166.0187, -45.7285, 33.0000, 4.1350, 1991, 166.0216, -45.7466, 17.4810,15.6523
165.6194, -46.6904, 33.0000, 3.6460, 1992, 165.6196, -46.6885, 34.2990,-1.3163
165.5412, -46.6965, 33.0000, 3.3260, 1992, 165.5411, -46.6956, 32.2240,0.7825
164.7023, -47.5467, 33.0000, 3.0640, 1992, 164.7158, -47.5531, 22.7600,10.3739
166.7714, -45.1272, 21.6300, 3.7840, 1992, 166.7657, -45.1175, 24.0940,-2.7634
165.5918, -46.1905, 33.0000, 3.0370, 1992, 165.6038, -46.2025, 24.6100,8.5996
165.3276, -47.1343, 33.0000, 3.3170, 1993, 165.3262, -47.1351, 33.4270,-0.4631
165.3842, -46.6675, 33.0000, 5.2380, 1993, 165.3915, -46.6734, 28.1590,4.9522
166.2190, -45.8628, 19.8900, 3.5150, 1993, 166.2074, -45.8495, 23.1940,-3.8428
166.7085, -45.2138, 22.0000, 6.8000, 1993, 166.6976, -45.1939, 25.9370,-4.6760
165.7286, -46.6755, 33.0000, 3.0280, 1994, 165.7180, -46.6697, 36.9260,-4.1495
165.2868, -46.9080, 33.0000, 3.2100, 1994, 165.2963, -46.9150, 28.9720,4.2363
164.9632, -47.3373, 33.0000, 3.7940, 1995, 164.9803, -47.3438, 26.4910,6.8195
165.0115, -47.1552, 33.0000, 3.0220, 1995, 165.0242, -47.1599, 25.4560,7.6928
165.8832, -46.1333, 33.0000, 3.2030, 1995, 165.8904, -46.1477, 28.7750,4.5886
167.5087, -44.6962, 39.6800, 3.0030, 1996, 167.5118, -44.6983, 39.4070,0.4979
165.3481, -46.8657, 33.0000, 3.0130, 1996, 165.3578, -46.8690, 29.9250,3.2793
164.8009, -47.3439, 33.0000, 3.5760, 1996, 164.8117, -47.3465, 22.9390,10.1365
167.3131, -44.8500, 33.0000, 3.8060, 1998, 167.3137, -44.8540, 32.7590,0.5103
165.5219, -46.5386, 33.0000, 4.1380, 1998, 165.5270, -46.5422, 29.3020,3.7626
164.7953, -47.3767, 33.0000, 3.2340, 1998, 164.8078, -47.3849, 23.1150,10.0238
165.5846, -46.9637, 33.0000, 3.3760, 1999, 165.5715, -46.9567, 37.6780,-4.9610
165.4749, -46.9739, 33.0000, 4.2680, 1999, 165.4718, -46.9691, 34.7250,-1.8383
164.8012, -47.6085, 33.0000, 4.2530, 1999, 164.8160, -47.6156, 25.5190,7.7004
165.2407, -46.8208, 33.0000, 3.3250, 1999, 165.2537, -46.8266, 26.9400,6.2633
164.8661, -47.6095, 27.0000, 3.2760, 2000, 164.8647, -47.6085, 26.9060,0.2132
165.1076, -47.3979, 33.0000, 3.1410, 2000, 165.1115, -47.4009, 31.9240,1.2071
166.8121, -45.0597, 18.2800, 3.2540, 2000, 166.8083, -45.0494, 22.1470,-4.0551
166.9672, -44.8555, 17.0300, 4.1120, 2000, 166.9680, -44.8525, 19.6240,-2.6169
165.0169, -47.4110, 34.8100, 3.0100, 2000, 165.0345, -47.4209, 29.4470,5.8141
167.0585, -44.9002, 20.9900, 3.7000, 2000, 167.0571, -44.8996, 21.7560,-0.7845
165.0179, -47.6674, 33.0000, 4.7300, 2000, 165.0103, -47.6618, 34.5650,-1.8844
165.0425, -47.6704, 30.2600, 3.5340, 2000, 165.0226, -47.6572, 35.0720,-5.4960
166.9462, -45.1172, 25.0000, 6.1000, 2000, 166.9415, -45.1050, 27.4730,-2.8687
165.3200, -46.9355, 33.0000, 4.6990, 2001, 165.3260, -46.9378, 30.0430,3.0421
165.0306, -47.5186, 33.0000, 5.2220, 2001, 165.0364, -47.5204, 31.7390,1.4304
165.5945, -46.2058, 33.0000, 3.6160, 2001, 165.6064, -46.2215, 25.0210,8.2742
165.2693, -46.7494, 38.9100, 3.4560, 2001, 165.2903, -46.7604, 26.9960,12.2021
165.8598, -46.0888, 33.0000, 3.3700, 2001, 165.8684, -46.1058, 26.8590,6.4961
166.8103, -45.1510, 34.0200, 4.5060, 2002, 166.8230, -45.1806, 29.0070,6.1610
165.1882, -46.7352, 39.1200, 3.0890, 2002, 165.2071, -46.7476, 25.2280,14.1176
166.4135, -45.4738, 22.2100, 3.6210, 2002, 166.4042, -45.4697, 24.0670,-2.1739
167.4012, -44.8501, 38.9700, 3.4510, 2003, 167.3892, -44.8349, 40.5430,-2.6667
166.4035, -45.4655, 20.5200, 4.3140, 2003, 166.3943, -45.4581, 23.3600,-3.1288
164.9121, -47.2959, 37.0400, 3.0920, 2003, 164.9345, -47.3061, 24.9340,12.4115
165.8742, -46.0694, 33.0000, 4.1650, 2003, 165.8837, -46.0856, 26.4580,6.8672
165.3546, -47.3010, 39.9100, 3.2600, 2003, 165.3583, -47.3039, 39.1170,0.9498
164.9142, -47.2987, 26.1000, 3.4490, 2003, 164.9156, -47.3011, 24.4850,1.6443
165.8344, -46.2111, 33.0000, 4.9330, 2003, 165.8425, -46.2188, 29.8210,3.4133
164.9694, -47.4369, 26.9100, 3.4240, 2003, 164.9695, -47.4361, 27.4890,-0.5859
165.6366, -46.1201, 36.0000, 4.5000, 2004, 165.6487, -46.1412, 24.0210,12.2805
165.6943, -46.0997, 33.0000, 3.2680, 2004, 165.7073, -46.1170, 24.3590,8.9698
165.0934, -47.7098, 38.9700, 3.1630, 2004, 165.0835, -47.7032, 40.3970,-1.9460
165.1152, -47.1245, 28.6900, 3.3850, 2004, 165.1199, -47.1275, 27.3220,1.5019
165.3169, -46.6061, 33.0000, 7.0000, 2004, 165.3253, -46.6119, 25.9990,7.0924
165.2488, -47.4017, 33.0000, 3.7950, 2004, 165.2358, -47.3905, 36.8210,-4.2709
165.9877, -45.7046, 24.0000, 3.9000, 2005, 165.9901, -45.7107, 16.9250,7.1124
165.0230, -47.4095, 33.0000, 3.1950, 2005, 165.0338, -47.4147, 29.3020,3.9309
165.0897, -47.4350, 31.2900, 3.9830, 2006, 165.0888, -47.4344, 31.8230,-0.5464
167.5401, -44.4911, 24.1200, 4.2570, 2006, 167.5390, -44.4873, 24.9470,-0.9367
166.8705, -45.1362, 37.0500, 4.2000, 2006, 166.8860, -45.1770, 30.6310,8.0471
166.9808, -44.8566, 36.5100, 3.5790, 2006, 166.9978, -44.8819, 20.4780,16.3864
166.6734, -45.0335, 24.2500, 3.9000, 2006, 166.6757, -45.0408, 19.9960,4.3383
167.3762, -44.8207, 31.9800, 3.9000, 2007, 167.3636, -44.8080, 33.6270,-2.5826
167.2994, -44.7285, 27.0000, 6.1000, 2007, 167.3103, -44.7355, 24.1200,3.2201
165.8455, -46.2200, 25.4500, 3.9000, 2008, 165.8371, -46.2099, 29.4250,-4.2349
164.8235, -47.2418, 33.0000, 3.8960, 2009, 164.8340, -47.2431, 22.7180,10.3491
165.2761, -47.2619, 33.0000, 3.0440, 2009, 165.2725, -47.2609, 34.5390,-1.5941
165.3977, -47.1982, 39.9900, 4.5140, 2009, 165.4027, -47.2019, 37.6810,2.4104
165.0482, -47.8305, 38.7900, 3.2020, 2010, 165.0316, -47.8183, 42.1650,-4.0790
165.4220, -47.0879, 38.7300, 3.6500, 2010, 165.4278, -47.0946, 35.8530,3.0411
164.7839, -47.5396, 27.3100, 3.0260, 2010, 164.7878, -47.5417, 23.9680,3.3781
167.2437, -44.6505, 20.0000, 3.5000, 2010, 167.2451, -44.6499, 19.9490,0.1769
165.0189, -47.7457, 39.0100, 3.4730, 2011, 165.0204, -47.7485, 38.3380,0.7592
166.1061, -46.0710, 27.0000, 3.8000, 2012, 166.0936, -46.0565, 30.6130,-4.1935
166.8736, -45.0668, 20.0000, 4.3000, 2014, 166.8703, -45.0570, 23.4330,-3.6204
164.9202, -47.8955, 33.0100, 3.9390, 2015, 164.9042, -47.8851, 36.7610,-4.3096
167.0501, -44.7141, 18.7100, 3.6250, 2015, 167.0500, -44.7145, 18.7430,-0.0565
167.4362, -44.7057, 31.6900, 3.0510, 2015, 167.4363, -44.7057, 32.0660,-0.3762
166.9065, -45.1922, 36.0000, 5.5000, 2016, 166.9137, -45.2051, 34.1660,2.4621
165.4710, -46.3944, 33.0000, 3.0240, 2018, 165.4784, -46.4035, 25.9950,7.1254
164.9618, -47.1239, 38.0300, 3.0070, 2019, 164.9839, -47.1311, 24.3950,13.8778
178.0000, -39.0000, 25.0000, 5.5000, 1835, 178.0135, -39.0089, 40.8880,-15.9894
178.0000, -39.0000, 25.0000, 4.5000, 1846, 178.0135, -39.0089, 40.8880,-15.9894
178.0000, -39.0000, 25.0000, 4.5000, 1846, 178.0135, -39.0089, 40.8880,-15.9894
178.0000, -39.0000, 25.0000, 4.5000, 1852, 178.0135, -39.0089, 40.8880,-15.9894
177.0000, -40.0000, 25.0000, 4.5000, 1852, 177.0120, -40.0125, 41.7590,-16.8694
175.2000, -41.2000, 33.0000, 8.2500, 1855, 175.2178, -41.2104, 49.2740,-16.4347
178.0000, -39.0000, 25.0000, 5.8000, 1875, 178.0135, -39.0089, 40.8880,-15.9894
176.5000, -40.4000, 33.0000, 5.7000, 1892, 176.5111, -40.4047, 43.4570,-10.5426
176.9000, -39.6000, 33.0000, 5.6000, 1911, 176.9176, -39.6194, 47.1220,-14.4192
176.5500, -40.4000, 33.0000, 6.2000, 1930, 176.5588, -40.4047, 42.9930,-10.0544
180.2330, -35.6800, 35.0000, 6.3700, 1930, 180.2467, -35.6871, 42.5250,-7.7181
180.4040, -35.3230, 35.0000, 6.2200, 1930, 180.4193, -35.3287, 43.1470,-8.3468
177.0000, -40.0000, 25.0000, 6.4600, 1931, 177.0120, -40.0125, 41.7590,-16.8694
176.0000, -41.0000, 25.0000, 5.5000, 1931, 176.0075, -41.0076, 42.6710,-17.7108
178.3000, -40.0000, 25.0000, 4.5000, 1940, 178.3071, -40.0057, 33.9270,-8.9842
179.0000, -38.5000, 25.0000, 4.5000, 1940, 179.0066, -38.5056, 33.9820,-9.0334
177.7000, -39.5000, 25.0000, 4.5000, 1940, 177.7078, -39.5102, 40.8570,-15.9212
178.2000, -39.1000, 40.0000, 4.6900, 1940, 178.1991, -39.0973, 38.4620,1.5702
176.0000, -41.0000, 33.0000, 3.8000, 1940, 176.0055, -41.0015, 42.7200,-9.7406
175.0000, -42.0000, 33.0000, 4.6000, 1940, 175.0083, -42.0084, 39.2960,-6.4315
180.0000, -37.0000, 25.0000, 4.8000, 1940, 180.0081, -37.0021, 36.3600,-11.3980
180.0000, -37.0000, 25.0000, 4.7000, 1940, 180.0081, -37.0021, 36.3600,-11.3980
176.8000, -41.2000, 33.0000, 4.4000, 1941, 176.8019, -41.2015, 38.6170,-5.6234
176.6000, -40.3000, 33.0000, 3.8000, 1941, 176.6096, -40.3065, 43.1340,-10.2157
176.2000, -41.5000, 25.0000, 4.7000, 1941, 176.2063, -41.5129, 39.3060,-14.3948
174.1000, -42.0000, 33.0000, 4.8000, 1941, 174.1196, -42.0273, 50.0060,-17.4117
176.0000, -41.0000, 25.0000, 4.5000, 1941, 176.0075, -41.0076, 42.6710,-17.7108
177.9600, -38.7300, 33.0000, 4.5270, 1942, 177.9706, -38.7384, 43.8890,-10.9924
177.2000, -40.3000, 33.0000, 4.2000, 1942, 177.2019, -40.3004, 39.2060,-6.2098
178.3000, -38.7000, 25.0000, 3.7000, 1942, 178.3159, -38.7109, 39.6760,-14.8317
177.8000, -39.4000, 33.0000, 4.3000, 1942, 177.8048, -39.4018, 40.8200,-7.8407
178.3000, -38.9300, 33.0000, 4.8840, 1943, 178.3062, -38.9312, 38.1110,-5.1590
175.3000, -41.0000, 33.0000, 3.4000, 1946, 175.3215, -41.0187, 50.1150,-17.4058
177.7700, -40.7900, 33.0000, 4.4930, 1946, 177.7727, -40.7907, 35.1690,-2.1911
175.7200, -41.3700, 33.0000, 4.0680, 1946, 175.7282, -41.3741, 43.6440,-10.6927
176.0600, -40.7100, 33.0000, 3.0990, 1947, 176.0673, -40.7241, 44.8280,-11.9590
175.9000, -40.9000, 33.0000, 3.7000, 1947, 175.9087, -40.9068, 44.1500,-11.2174
178.8032, -38.8455, 15.0000, 7.0500, 1947, 178.8126, -38.8509, 33.3980,-18.4374
174.6700, -41.5900, 33.0000, 4.0170, 1947, 174.6893, -41.6186, 50.3120,-17.7320
174.9600, -41.4100, 33.0000, 4.4250, 1948, 174.9756, -41.4264, 49.8140,-17.0013
177.0300, -39.2500, 33.0000, 3.8810, 1948, 177.0560, -39.2770, 51.1040,-18.5776
176.1700, -40.6400, 33.0000, 3.6090, 1949, 176.1787, -40.6522, 44.6870,-11.8052
180.0800, -36.2500, 33.0000, 4.3740, 1949, 180.0880, -36.2560, 39.5660,-6.6595
177.6300, -39.2100, 33.0000, 3.7110, 1950, 177.6387, -39.2177, 43.6050,-10.6834
175.8400, -41.0900, 33.0000, 4.1190, 1950, 175.8483, -41.0957, 43.4350,-10.4949
177.1000, -39.5500, 33.0000, 4.3490, 1950, 177.1137, -39.5651, 45.4760,-12.6803
177.6700, -38.9700, 33.0000, 3.9150, 1950, 177.6828, -38.9809, 44.9120,-12.0578
176.3500, -40.1000, 33.0000, 3.3540, 1950, 176.3755, -40.1194, 48.3730,-15.7804
178.0000, -38.2900, 33.0000, 5.0170, 1950, 178.0294, -38.3197, 49.9550,-17.5803
177.8100, -39.2500, 33.0000, 4.9690, 1950, 177.8168, -39.2555, 41.5560,-8.6111
174.1000, -42.1200, 33.0000, 3.5070, 1950, 174.1146, -42.1412, 47.9940,-15.2648
175.7900, -41.1100, 33.0000, 3.5580, 1950, 175.7981, -41.1158, 43.7710,-10.8278
177.5400, -40.0300, 33.0000, 3.9150, 1950, 177.5410, -40.0319, 38.6160,-5.6211
175.6800, -41.2000, 27.0000, 4.1450, 1950, 175.6926, -41.2064, 44.4210,-17.4917
176.0500, -41.6000, 33.0000, 3.4050, 1950, 176.0559, -41.6101, 39.1020,-6.2391
